 field_num | photometry_type | project_id | comments | duplicate |                                     path                                      
 236       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/236
 238       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/238
 239       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/239
 240       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/240
 241       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/241
 242       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/242
 242       | ISM             |          0 | V1       | f         | /nfs/hatsouth/edrive4.1/H/2KISM_LC/242_V1
 247       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/247
 248       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/248
 249       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/249
 258       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/258
 259       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/259
 268       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/268
 269       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/269
 277       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/277
 284       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/284
 285       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/285
 286       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/286
 287       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/287
 288       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/288
 292       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/2KRED/AP/2KRED_LC/292
 293       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/293
 294       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/294
 294       | ISM             |          0 | GB       | f         | /nfs/phn9/ar1/4KRED/ISM/4KISM_LC/294_GB
 300       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/300
 311       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/311
 314       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/314
 315       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/315
 316       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/316
 317       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/317/
 317       | AP              |          0 |          | f         | /nfs/phn11/ar0/4KRED/AP/4KAP_LC/317
 318       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/318/
 318       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/318
 341       | ISM             |          0 | GB       | f         | /nfs/phn9/ar1/4KRED/ISM/4KISM_LC/341_GB
 341       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/341
 342       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/342
 357       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/357
 358       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/358
 362       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/362
 364       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/364/
 364       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/364
 365       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/365
 366       | AP              |          0 |          | f         | /nfs/phn11/ar0/4KRED/AP/4KAP_LC/366
 376       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/376
 376       | ISM             |          0 |          | f         | /nfs/phn9/ar1/4KRED/ISM/4KISM_LC/376
 377       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/377
 377       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/377/
 378       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/378
 378       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/378/
 384       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/384
 388       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/388
 389       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/389
 431       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/431
 431       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/431/
 432       | AP              |          0 |          | f         | /nfs/phn11/ar0/4KRED/AP/4KAP_LC/432
 267       | AP              |          0 |          | f         | /nfs/phn11/ar1/H/BIGPROJ/hatuser/2007_hatnet_phot/G267/LC
 063       | AP              |          0 |          | f         | /nfs/phn7/ar1/H/4KRED/4KAP_LC/063
 081       | AP              |          0 |          | f         | /nfs/phn10/ar0/4KRED/AP/4KAP_LC/081
 093       | AP              |          0 |          | f         | /nfs/phn7/ar1/H/4KRED/4KAP_LC/093
 100       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/100
 114       | AP              |          0 |          | f         | /nfs/phn10/ar0/4KRED/AP/4KAP_LC/114
 140       | AP              |          5 | D20      | f         | /nfs/phn9/ar0/4KAP_LC/140_PR5_combined
 209       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/209/
 209       | AP              |          0 |          | f         | /nfs/phn11/ar0/4KRED/AP/4KAP_LC/209
 267       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/267/ism/epdlc/
 315       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/315/ism/epdlc/
 317       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/317
 341       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/341/ism/epdlc/
 342       | AP              |          0 | .2       | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/342.2
 365       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/365
 366       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/366
 366       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/366
 384       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/384
 388       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/388
 389       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/389
 432       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar1/H/4KRED/ISM/4KISM_LC/432
 178       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/HOLD/HAT11/2013_WHAT_REDUCTION/2KRED/2KRED_LC/178
 189       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/HOLD/HAT11/2013_WHAT_REDUCTION/2KRED/2KRED_LC/189
 208       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/HOLD/HAT11/2013_WHAT_REDUCTION/2KRED/2KRED_LC/208
(198 rows)

