     hat_id      | ndet  |                           full_lc_fpath
 HAT-059-0000002 |  3473 | 059/HAT-059-0000002-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000003 |  3471 | 059/HAT-059-0000003-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000005 |  3471 | 059/HAT-059-0000005-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000006 |  3472 | 059/HAT-059-0000006-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000008 |  3444 | 059/HAT-059-0000008-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000010 |  3471 | 059/HAT-059-0000010-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000015 |  3455 | 059/HAT-059-0000015-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000018 |  3470 | 059/HAT-059-0000018-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000022 |  2645 | 059/HAT-059-0000022-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000025 |  3471 | 059/HAT-059-0000025-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000027 |  3472 | 059/HAT-059-0000027-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000031 |  3384 | 059/HAT-059-0000031-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000053 |  3445 | 059/HAT-059-0000053-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000083 |  3467 | 059/HAT-059-0000083-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000090 |  3362 | 059/HAT-059-0000090-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000138 |  3473 | 059/HAT-059-0000138-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000170 |  3472 | 059/HAT-059-0000170-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000369 |  3472 | 059/HAT-059-0000369-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000402 |  3472 | 059/HAT-059-0000402-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000446 |  3473 | 059/HAT-059-0000446-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000532 |  3470 | 059/HAT-059-0000532-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000566 |  3472 | 059/HAT-059-0000566-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000578 |  3410 | 059/HAT-059-0000578-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000602 |  3411 | 059/HAT-059-0000602-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000621 |  3472 | 059/HAT-059-0000621-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000700 |  3450 | 059/HAT-059-0000700-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000742 |  3472 | 059/HAT-059-0000742-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
